BSAG,GENERAL AGRICULTURE,01.01.0000.00
BSNRM,NATURAL RESOURCES MANAGEMENT,01.03.0201.00
BA,COMMUNICATIONS,05.09.0100.00
BS,COMMUNICATIONS,05.09.0100.00
BS,COMPUTER SCIENCE,06.11.0701.00
MSED,INSTRUCTIONAL LEADERSHIP,08.13.0401.00
MSED,COUNSELING,08.13.1101.00
MSED,TEACHING,08.13.1206.00
BA,SPANISH,10.16.0905.00
BSFCS,FAMILY AND CONSUMER SCIENCES,12.19.0101.00
MSFCS,FAMILY AND CONSUMER SCIENCES,12.19.0101.00
BA,ENGLISH,15.23.0101.00
BS,BIOLOGY,18.26.0101.00
BA,MATHEMATICS,19.27.0101.00
BS,MATHEMATICS,19.27.0101.00
BSED,INTEGRATED STUDIES,08.13.1206.00
BIS,INTERDISCIPLINARY STUDIES,21.30.9999.04
BSHHP,HEALTH & HUMAN PERFORMANCE,22.31.0501.00
BA,PHILOSOPHY,24.38.0101.00
BS,CHEMISTRY,25.40.0501.00
BSCH,CHEMISTRY,25.40.0501.00
BS,GEOSCIENCE,25.40.0601.00
BA,PSYCHOLOGY,26.42.0101.00
BS,PSYCHOLOGY,26.42.0101.00
BSCJ,CRIMINAL JUSTICE,27.43.0103.00
BSSW,SOCIAL WORK,27.44.0701.00
BA,HISTORY,28.54.0101.00
BS,HISTORY,28.54.0101.00
BA,INTERNATIONAL STUDIES,28.45.0901.00
BA,POLITICAL SCIENCE,28.45.1001.00
BS,POLITICAL SCIENCE,28.45.1001.00
BA,SOCIOLOGY,28.45.1101.00
BS,SOCIOLOGY,28.45.1101.00
BFA,FINE & PERFORMING ARTS,30.50.0101.00
BAM,MUSIC,30.50.0999.00
BM,MUSIC,30.50.0901.00
BSN,NURSING,31.51.3801.00
MBA,BUSINESS ADMINISTRATION,32.52.0201.00
BSBA,MANAGEMENT,32.52.0201.01
BSBA,ACCOUNTING,32.52.0301.00
BSBA,INFORMATION SYSTEMS,32.52.1201.00
BSBA,ECONOMICS,32.52.0601.00
BSBA,MARKETING,32.52.1401.00
BSE,ENGINEERING,09.14.0101.00
MSANR,AGRICULTURE & NATURAL RESOURCES,01.01.0101.00
BSBA,FINANCE,32.52.0801.00
BSED,SECONDARY EDUCATION,08.13.1205.00
MASC,STRATEGIC COMMUNICATION,05.09.0999.00
BSAB,AGRICULTURAL BUSINESS,01.01.0102.00